id_municipio_tse,id_municipio_ibge
75833,4109401
74500,4115358
78735,4124905
75353,4106902
76090,4110805
78972,4126108
77810,4120101
79359,4128104
76678,4113700
77011,4115804
75310,4106704
78859,4125506
77577,4118808
74250,4101408
76910,4115200
79650,4116703
74713,4103701
76759,4114104
75876,4109609
77771,4119905
76830,4114609
77453,4118204
77496,4118402
74071,4100400
74314,4101705
74691,4103602
75132,4105805
75418,4107207
78930,4125902
76295,4111803
75043,4119152
76414,4112405
76236,4111506
75493,4107603
74837,4104303
77976,4121000
74934,4104808
76058,4110607
76872,4114807
79510,4100509
79537,4102000
77437,4118105
75698,4108601
79570,4105300
75230,4106308
76996,4115606
84611,4126256
74411,4102208
75639,4108304
75159,4105904
74772,4104006
79693,4118907
79278,4127700
75710,4108809
74390,4102109
79553,4120903
79391,4128302
74098,4100608
76112,4110904
77410,4118006
75914,4109807
76775,4114203
76350,4112108
74357,4101804
78433,4123303
78492,4123709
75299,4106605
79839,4103354
74810,4104204
84590,4113759
78239,4122305
74632,4103305
75051,4105508
77054,4116000
78115,4121703
79677,4117206
75531,4107801
75078,4105607
74730,4103800
74373,4101903
77070,4116109
74993,4105102
75736,4108908
75892,4109708
75752,4109005
75140,4103040
78794,4125308
77291,4117404
78212,4122206
75515,4107702
84530,4127965
79030,4126405
75523,4119954
78298,4122602
74284,4107538
74446,4111258
77674,4119400
75205,4104253
74950,4104907
78514,4123808
76031,4110508
74322,4107652
74055,4100301
74497,4102604
78255,4122404
76074,4110706
74063,4117453
74276,4101507
76252,4111605
75191,4106100
79979,4112751
78875,4125605
75000,4110953
78891,4125704
75647,4126355
75094,4105706
77275,4117305
84697,4116059
76791,4114302
77917,4120606
74195,4101101
74225,4104428
78050,4121406
75116,4114401
76430,4112504
79219,4127403
75264,4106852
74381,4110052
78077,4121505
74748,4122156
78751,4125001
74217,4101200
75582,4120655
74080,4124020
79855,4103453
75426,4108957
77712,4119608
78999,4126207
77313,4117503
75213,4106209
76619,4113403
74942,4128633
74233,4101309
77518,4118501
74470,4102505
78158,4121901
74527,4115739
78174,4122008
77690,4119509
84638,4112959
75540,4120150
78131,4121802
74756,4103909
74578,4103008
79634,4115705
79251,4127601
79154,4127106
76597,4113304
74454,4102406
75655,4108403
74977,4105003
76333,4112009
77950,4120804
75477,4107504
79170,4127205
84670,4124053
75370,4107009
74330,4114906
76473,4112702
77356,4117701
74969,4128658
78450,4123402
76538,4113007
74870,4104501
74675,4103503
75019,4105201
77550,4118709
75604,4121752
77755,4119806
75973,4110102
76651,4113601
78190,4122107
75221,4104659
75337,4106803
75744,4122651
79235,4127502
76210,4111407
74489,4113429
75256,4106407
76490,4112801
79871,4127858
78271,4122503
74918,4104709
77399,4117909
79111,4126801
75442,4110078
77232,4117008
78018,4121208
76570,4113205
74292,4101606
76732,4114005
78611,4124202
77739,4119707
78719,4124806
76635,4113502
79375,4128203
78913,4125803
74110,4100707
75485,4115457
74179,4101002
79898,4128559
78379,4123006
76953,4115408
75566,4120333
79472,4128708
74608,4117214
74365,4109658
77330,4117602
77216,4116901
79430,4128500
76716,4113908
75507,4118857
84719,4125456
77097,4116208
74985,4113254
74853,4104402
75930,4109906
74004,4108551
77658,4119301
79014,4126306
79715,4123501
74535,4102802
75167,4103156
75175,4106001
79995,4125357
75779,4109104
75671,4108502
75280,4106555
77836,4120200
76856,4114708
74861,4125753
79774,4108320
75388,4108650
75329,4107546
76317,4111902
77372,4117800
74896,4104600
74020,4109757
74616,4103206
75760,4117271
75612,4108205
74764,4123824
76376,4112207
75469,4114351
84557,4100459
77135,4116406
77798,4120002
74683,4120853
75590,4108106
79596,4108700
79294,4127809
76279,4111704
74438,4102307
79073,4126603
74594,4103107
79332,4128005
75434,4107306
76511,4112900
74560,4115853
76155,4111100
79812,4103057
75850,4109500
78697,4124707
77933,4120705
77879,4120408
78590,4124103
78654,4124509
74349,4107850
78573,4124400
77895,4120507
76392,4112306
78417,4123204
79413,4128401
74039,4100202
79456,4128609
78352,4122909
78832,4125407
78557,4124004
74136,4100806
74586,4117057
77615,4119103
75558,4107900
75795,4109203
79057,4126504
78956,4126009
75957,4110003
74241,4106571
74888,4127882
76694,4113809
76554,4113106
74551,4102901
77259,4117107
75272,4106506
79731,4126900
75035,4105409
75027,4116950
79197,4127304
74209,4103479
74659,4103404
79936,4127957
75060,4126272
78395,4123105
74543,4115754
78530,4123907
75620,4122172
74829,4123956
79952,4117255
74160,4103222
84514,4104451
75396,4107108
76970,4115507
74799,4104105
76813,4114500
75809,4113734
75450,4107405
76899,4115101
77178,4116604
79138,4127007
75817,4109302
75361,4108452
78670,4124608
79790,4117222
75663,4126678
74047,4113452
75990,4110201
75124,4102752
76937,4115309
75183,4103958
74802,4123857
74420,4117297
78093,4121604
75345,4107736
74519,4102703
84654,4107256
77534,4118600
77852,4120309
74462,4111555
75787,4126652
74624,4118451
78778,4125100
74012,4100103
74144,4103024
77992,4121109
79316,4127908
77194,4116802
79758,4115002
84573,4107751
75108,4101655
75574,4108007
76457,4112603
74900,4128534
74926,4128625
74780,4104055
77119,4116307
74667,4119657
78476,4123600
78336,4122800
79910,4120358
77470,4118303
74187,4103370
79499,4128807
75302,4107520
77631,4119202
76198,4111308
78310,4122701
75248,4106456
74306,4107553
79618,4110409
74152,4100905
77151,4116505
76015,4110300
74845,4125555
74128,4101150
76139,4111001
74705,4121257
74403,4110656
79090,4126702
77038,4115903
74268,4107124
75086,4101853
78638,4124301
74101,4101051
78034,4121307
74640,4119251
